CHAIN,STAKER,AMOUNT
polygon,0x90e9Ecc016A6971Cd28ceE85C53e72517A451a38,0.995
polygon,0x01b7D2F271fA4fEF54d47b3b58FbC0dB41D800eB,34.820025
polygon,0x90e9Ecc016A6971Cd28ceE85C53e72517A451a38,4.975
polygon,0xb5323bc5E5793505Fad56D0EaE55e8d7CEfF8bC7,34.825
polygon,0x38D4d76Fd130bb1EaEC92a9Ff4977e6f7cCB861a,34.825
polygon,0x3fC092C05E47311932fa3edAFB1B623039E2f7C2,34.825
polygon,0x90e9Ecc016A6971Cd28ceE85C53e72517A451a38,4.950125
polygon,0x5C4334D46Ca8A5328946325D94ECFf71e8BEbB30,34.825
polygon,0xbf1f7Eaf0309ABF9e68f06329CD602BC00ab92e3,34.825
polygon,0x697EF99fF3a39292645f67960D6eD3306Efdda65,34.825
polygon,0xCc765eEc6Ea70204E7ace6e813B95996551587bB,34.825
polygon,0xed2458F3A7a70A3268E981dBCadB0791d0d6ACBA,34.825
polygon,0x350288adb92094CA2466f7A0AB920Dae2A9b25fb,33.83
polygon,0xcb794ADE334b22A3B4b1c62D1D957B502Eb8EdeA,34.825
polygon,0xb91eD9b9B41f88FFeA8Fb965bF66C36b6d495335,34.825
polygon,0xB0ED408C24ddcfda6AC695e2c58AfE897605D4Bd,34.825
polygon,0xE42a6c980A3c9fB0e8945D699a27f9e471AcE4eB,34.825
polygon,0x238bb9368FCbA26985cd449B757fc8bbB1c16b5a,0.0995
polygon,0xD9FE58c4E6af446af8E6f36669ba1756CB535aB4,34.825
polygon,0x7dB505e48816d56d46FACD93EC874B3f10f9E963,34.825
polygon,0xD9FE58c4E6af446af8E6f36669ba1756CB535aB4,0.0
polygon,0xf9e0206f9f020DE9423A80ace7A64B322D0CE334,34.825
polygon,0x7dB505e48816d56d46FACD93EC874B3f10f9E963,35.91084151
polygon,0xD9FE58c4E6af446af8E6f36669ba1756CB535aB4,34.650875
polygon,0x7fbF7133d58058f9A369Ca0852A627957C63DaB1,34.825
polygon,0x18b191cC6786B581763002580377D408903916ee,34.825
polygon,0x7dB505e48816d56d46FACD93EC874B3f10f9E963,0.0
polygon,0xeE2343f8C3efd59ea73b909809d8fA300B133dEC,34.825
polygon,0xb5323bc5E5793505Fad56D0EaE55e8d7CEfF8bC7,0.0
polygon,0x7dB505e48816d56d46FACD93EC874B3f10f9E963,0.0
polygon,0xf9e0206f9f020DE9423A80ace7A64B322D0CE334,34.650875
polygon,0x5161716F02ebDdE4eB8BDcb80994a69b5951a63C,2.401379659567839662
polygon,0x5161716F02ebDdE4eB8BDcb80994a69b5951a63C,2.716968829329784455
polygon,0x5161716F02ebDdE4eB8BDcb80994a69b5951a63C,2.633537209737544636
polygon,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,1.201471328095961735
polygon,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,47.102590452399469497
polygon,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,28.918124843013367027
polygon,0x5161716F02ebDdE4eB8BDcb80994a69b5951a63C,26.050200999425815593
polygon,0x5161716F02ebDdE4eB8BDcb80994a69b5951a63C,5.317153030363053124
polygon,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,10.348893854250342982
polygon,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,31.369849274350965812
polygon,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,39.67505820208858282
polygon,0x5161716F02ebDdE4eB8BDcb80994a69b5951a63C,36.167227858077891215
polygon,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,46.116593871074149722
polygon,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,73.261536002415837462
polygon,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,242.195902805195071765
polygon,0x5161716F02ebDdE4eB8BDcb80994a69b5951a63C,186.90749529642136489
polygon,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,273.742017691986957975
polygon,0x5161716F02ebDdE4eB8BDcb80994a69b5951a63C,76.304821412509494806
polygon,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,174.33189171032395563
