CHAIN,SENDER,ASSETS,LP ($USD)
polygon,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,0.1940870860270269,212.782953
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,0.057589539409424519,63.136979
polygon,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,0.000000000000000011,0.0
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,0.068483776383588573,75.080627
polygon,0x7fbF7133d58058f9A369Ca0852A627957C63DaB1,0.001721187065528206,1.886984
polygon,0xF6846BD459bF7FB9132c4453206933252A197636,0.003011215683893697,3.301277
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,0.022878869405999549,25.082727
polygon,0x5161716F02ebDdE4eB8BDcb80994a69b5951a63C,0.006154880074704911,6.747762
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,0.044200784760717598,48.458522
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,0.009838402062940702,10.786107
polygon,0x66EC0Da50B1B54A52817417FE1A92dF7A961d149,0.004001488052356683,4.38694
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,0.024592285556432519,26.961191
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,0.049780747135913805,54.575987
polygon,0x108706524972d0E44936B34109de5bf18Ed60c67,0.000000008132300205,0.000008
polygon,0x4A228f14d2130E8E4636418B52aAF3D6b4E887D3,0.000007525774884848,0.00825
polygon,0x831Db56a947c2A680A0Ac4700A87f98Db32328D8,0.000003839665645824,0.004209
polygon,0xdAc7a91516112703448B5d1fbC8B679fcE838E8A,0.000007418293654615,0.008132
polygon,0x2446f1a75162F045d02F23D1D3b0F5A2C0f9A4cB,0.00000070297895261,0.00077
polygon,0xa9E14C1DF751dC3E710fCB3A92019667ae7fCF2D,0.00000125,0.00137
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,0.040374921794089148,44.264125
polygon,0x605203FA80FB81b3AcdCa5b26fA7cBC8F9CaCFcE,0.00047774430727545,0.523764
polygon,0x2c135D9a00Ad4D9465c7d6943484DFD2BD3924bB,0.000006360480034079,0.006973
polygon,0x85b3F50e9d3e902123fa6D3469511029bE7C51F2,0.013524717761482006,14.827516
polygon,0x465E334962AD570f84ebF07fB45D7871E132bA65,0.0000001,0.000109
polygon,0xcC6cEaF8C8A3E55Da475Dd043A846520676Fc7E9,0.000360943768901053,0.395712
polygon,0x344E832F4C8F7E5B25007dc8061a4Ffa030D8103,0.00001,0.010963
polygon,0x344E832F4C8F7E5B25007dc8061a4Ffa030D8103,0.000010843047723145,0.011887
polygon,0x83Fa8511368E9688DB03dcc131066eCafEA479A3,0.000003137033157869,0.003439
polygon,0x3953EdC69Bfad109C8B6A94070Adb327CBe40F07,0.000012054287016873,0.013215
polygon,0x66e655f74887E50d2FFca66bDB48e1815D41e7EF,0.001101822839861359,1.207958
polygon,0xecAC3e236894E72b43a67A7331111252B7Dd88eB,0.000791834490446548,0.868109
polygon,0x035f23Cf31b863F8370A865e3D6442257C582887,0.028772033929465946,0.11449
polygon,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,85.351157657604741991,339.631887
polygon,0x90e9Ecc016A6971Cd28ceE85C53e72517A451a38,50.0,198.9615
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,24.004058792880902302,95.51767
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,79.764240988676167636,317.40026
