CHAIN,SENDER,ASSETS
polygon,0x831Db56a947c2A680A0Ac4700A87f98Db32328D8,0.01
polygon,0x4A228f14d2130E8E4636418B52aAF3D6b4E887D3,0.01
polygon,0x4d68BF377995c478bb8D3bB1eDE71502c7E55E94,0.00001
polygon,0x108706524972d0E44936B34109de5bf18Ed60c67,0.026661
polygon,0x108706524972d0E44936B34109de5bf18Ed60c67,0.026661
polygon,0x25FA68A4c340202737EDBC67fD1a2Ec8DE872dB6,1.0
polygon,0xdAc7a91516112703448B5d1fbC8B679fcE838E8A,0.01
polygon,0xa9E14C1DF751dC3E710fCB3A92019667ae7fCF2D,0.01
polygon,0x2446f1a75162F045d02F23D1D3b0F5A2C0f9A4cB,0.00399
polygon,0xdAc7a91516112703448B5d1fbC8B679fcE838E8A,0.01
polygon,0x90e06d2d9705c181Bad2A4e7c3DcA13631a6f479,5.0
polygon,0x605203FA80FB81b3AcdCa5b26fA7cBC8F9CaCFcE,0.510238
polygon,0x0754F1Df5f57C969E82a4E6e9d1f1c7D04Df7587,0.001
polygon,0x1415517e51Cd6b8cca8C1Da56400ff47aab03644,0.01
polygon,0x59c6D0c21d9700F3dbD25c7533C87ebA53fFbFff,0.04
polygon,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,2.904486
polygon,0x5161716F02ebDdE4eB8BDcb80994a69b5951a63C,79.470569
polygon,0x5161716F02ebDdE4eB8BDcb80994a69b5951a63C,2.895599
polygon,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,2000.0
polygon,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,10.279797
polygon,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,0.517353
polygon,0x6FeF8A579fD2ab7Db03dB9d27E6E5aB2422829e1,11.83919
polygon,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,3.839506
polygon,0x90e9Ecc016A6971Cd28ceE85C53e72517A451a38,150.73875
polygon,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,75.000002
polygon,0x90e9Ecc016A6971Cd28ceE85C53e72517A451a38,11.570179
polygon,0x90e9Ecc016A6971Cd28ceE85C53e72517A451a38,5.094896
polygon,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,0.737884
polygon,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,300.0
polygon,0x6FeF8A579fD2ab7Db03dB9d27E6E5aB2422829e1,1700.000001
polygon,0x831Db56a947c2A680A0Ac4700A87f98Db32328D8,0.01
polygon,0x831Db56a947c2A680A0Ac4700A87f98Db32328D8,0.01
polygon,0x4A228f14d2130E8E4636418B52aAF3D6b4E887D3,0.01
polygon,0x108706524972d0E44936B34109de5bf18Ed60c67,0.01
polygon,0x4d68BF377995c478bb8D3bB1eDE71502c7E55E94,0.000101
polygon,0x25FA68A4c340202737EDBC67fD1a2Ec8DE872dB6,1.0
polygon,0xa9E14C1DF751dC3E710fCB3A92019667ae7fCF2D,0.01
polygon,0x2446f1a75162F045d02F23D1D3b0F5A2C0f9A4cB,0.00399
polygon,0xdAc7a91516112703448B5d1fbC8B679fcE838E8A,0.01
polygon,0x90e06d2d9705c181Bad2A4e7c3DcA13631a6f479,4.999995
polygon,0x0754F1Df5f57C969E82a4E6e9d1f1c7D04Df7587,0.001
polygon,0x1415517e51Cd6b8cca8C1Da56400ff47aab03644,0.3
polygon,0x59c6D0c21d9700F3dbD25c7533C87ebA53fFbFff,0.02
polygon,0x66EC0Da50B1B54A52817417FE1A92dF7A961d149,4.296832
polygon,0x6FeF8A579fD2ab7Db03dB9d27E6E5aB2422829e1,513.600684
polygon,0x90e9Ecc016A6971Cd28ceE85C53e72517A451a38,2500.0
polygon,0x6F4109bF65c9f896A43A11F00E65bF5Cc75C9bcb,0.1
polygon,0xbB0681e131d704cb86bdA625A730c7866e262A3A,0.107511
polygon,0x01b7D2F271fA4fEF54d47b3b58FbC0dB41D800eB,62.356695
polygon,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,115.0
polygon,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,200.0
polygon,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,133.760806
polygon,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,0.533391
polygon,0x01b7D2F271fA4fEF54d47b3b58FbC0dB41D800eB,17.52591
polygon,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,3.85372
polygon,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,200.324725
polygon,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,225.697102
polygon,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,300.0
polygon,0x19A313d0D3eF1Cd269817aE4f943DFf55CfF2568,4.12006
polygon,0x831Db56a947c2A680A0Ac4700A87f98Db32328D8,0.01
polygon,0x4A228f14d2130E8E4636418B52aAF3D6b4E887D3,0.01
polygon,0x108706524972d0E44936B34109de5bf18Ed60c67,0.019996
